         97985 function calls (97891 primitive calls) in 5.845 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       22    0.000    0.000    0.000    0.000 /usr/lib/python3.10/_collections_abc.py:821(get)
       13    0.000    0.000    0.558    0.043 /usr/lib/python3.10/socket.py:691(readinto)
        2    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/response.py:577(__init__)
        2    0.000    0.000    0.001    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/requests/adapters.py:359(build_response)
       33    0.000    0.000    0.000    0.000 /usr/lib/python3.10/email/_policybase.py:289(_sanitize_header)
       13    0.000    0.000    0.558    0.043 /usr/lib/python3.10/ssl.py:1292(recv_into)
       21    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/_collections.py:300(add)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/http/client.py:1083(putrequest)
       10    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/connection.py:355(putheader)
       27    0.000    0.000    0.000    0.000 /usr/lib/python3.10/email/feedparser.py:78(readline)
        3    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/util/url.py:367(parse_url)
        8    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/requests/cookies.py:35(__init__)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/http/client.py:417(close)
       13    0.000    0.000    0.558    0.043 /usr/lib/python3.10/ssl.py:1150(read)
        2    0.000    0.000    0.560    0.280 /usr/lib/python3.10/http/client.py:1331(getresponse)
        1    0.000    0.000    0.109    0.109 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/connection.py:846(_ssl_wrap_socket_and_match_hostname)
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.10/queue.py:122(put)
       61    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/typing.py:1138(__getitem__)
       10    0.000    0.000    0.000    0.000 /usr/lib/python3.10/http/cookiejar.py:1227(vals_sorted_by_key)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/posixpath.py:229(expanduser)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/ssl.py:1255(sendall)
        2    0.000    0.000    0.002    0.001 /usr/lib/python3.10/http/client.py:224(parse_headers)
       32    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       10    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/requests/structures.py:40(__init__)
        3    0.000    0.000    0.001    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/requests/utils.py:765(should_bypass_proxies)
        2    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/urllib3/response.py:316(__init__)
        5    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
       24    0.000    0.000    0.002    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/bs4/builder/_htmlparser.py:127(handle_startendtag)
        2    0.000    0.000    0.000    0.000 /home/daisymal/DS_Bootcamp.Day03.ID_886513-1/src/ex04/daisymal/lib/python3.10/site-packages/requests/models.py:658(__init__)
